state,city,population,median_income,poverty_level,unemployment_rate,unemployment_rank,income_rank,poverty_rank,score,rank
kansas,Bel Aire,7671,95250,1.068961022031026,0.008003880669415474,1.0,2.0,1.0,1.3333333333333333,1
kansas,Leawood,34570,149736,1.8187092095721535,0.023841602718059865,7.0,1.0,2.0,3.3333333333333335,2
kansas,Prairie Village,22048,88635,3.7443629572268025,0.017392021101219915,4.0,4.0,5.0,4.333333333333333,3
kansas,Valley Center,6747,70962,3.609246830723341,0.015215553677092142,2.0,16.0,3.0,7.0,4
kansas,Lenexa,53051,84370,5.212990620421986,0.026562145703087042,11.0,8.0,8.0,9.0,5
kansas,Andover,12862,88960,6.455925139576943,0.027467411545623835,13.0,3.0,14.0,10.0,6
kansas,Lansing,11835,84917,3.7252005065428455,0.03615910004017678,26.0,6.0,4.0,12.0,7
kansas,Derby,23768,71909,4.8619625417494605,0.028778122267270848,15.0,15.0,6.0,12.0,8
kansas,Olathe,135986,85318,6.3710302091402005,0.0314379224096642,18.0,5.0,13.0,12.0,9
kansas,Mission,9437,60875,6.293259503780215,0.020340664792459072,5.0,20.0,12.0,12.333333333333334,10
kansas,Spring Hill,6315,72384,7.157659811892237,0.025901942645698433,9.0,14.0,16.0,13.0,11
kansas,Overland Park,188687,82651,5.443429974905226,0.03403034030340303,22.0,9.0,9.0,13.333333333333334,12
kansas,Tonganoxie,5073,73798,5.125100887812752,0.03347732181425486,20.0,13.0,7.0,13.333333333333334,13
kansas,Park City,7885,69921,8.263090676883781,0.024344126683999056,8.0,18.0,19.0,15.0,14
kansas,Shawnee,65239,84507,7.112492077478397,0.035154890358510264,24.0,7.0,15.0,15.333333333333334,15
kansas,Gardner,21351,75985,5.5370722433460084,0.0359513751185447,25.0,12.0,10.0,15.666666666666666,16
kansas,Mulvane,5719,64388,6.256665481692142,0.033967391304347824,21.0,19.0,11.0,17.0,17
kansas,Paola,5585,51270,9.141686836715696,0.01606118546845124,3.0,30.0,24.0,19.0,18
kansas,McPherson,13041,54804,12.38832163369496,0.0263481228668942,10.0,24.0,29.0,21.0,19
kansas,Haysville,11298,54494,8.969860548807917,0.02957799547852298,16.0,25.0,23.0,21.333333333333332,20
kansas,Roeland Park,6796,70514,8.107710417892878,0.04034846400733608,30.0,17.0,18.0,21.666666666666668,21
kansas,Merriam,11243,59643,8.886885984677784,0.0340876539673446,23.0,21.0,22.0,22.0,22
